gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status,readable_language_filings_in_interval,first_archived_filing,last_archived_filing,cover_name_contexts,explicit_cik_review_count,audit_status
133366,87657,36952.0,1,LC,P,2000-04-03,,1099800,EDWARDS LIFESCIENCES CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-06,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
133367,87659,36954.0,1,LC,P,2000-04-04,,1096752,EDGEWELL PERSONAL CARE CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-01-29,2024-11-14,48,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
133288,87812,18455.0,1,LC,P,2000-03-24,,1038074,SILICON LABORATORIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-10,2024-11-04,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
024316,88031,7902.0,1,LC,P,1990-11-08,,865752,MONSTER BEVERAGE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-08,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
134932,88182,37176.0,1,LC,P,2000-04-28,,1097864,ON SEMICONDUCTOR CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-25,2024-10-28,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
023714,88284,37664.0,1,LC,C,2000-06-09,,1108109,COMMUNITY HEALTH SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-24,46,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
136884,88335,37710.0,1,LC,P,2000-06-16,2015-06-30,1107332,DENDREON CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-02-22,2014-11-10,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063645,88436,37931.0,1,LC,P,2000-07-18,2024-05-02,1593034,ENDO INTERNATIONAL PLC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,40,2014-05-09,2024-03-06,22,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
138205,88446,37938.0,1,LC,P,2000-07-28,,1110803,ILLUMINA INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-06,50,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
138741,88499,38401.0,1,LC,P,2000-08-11,2011-06-17,1114200,AMERICAN MEDICAL SYSTMS HLDS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,6,2010-03-01,2011-05-12,6,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
