n,base_rate,roc_auc,pr_auc,mcc,precision,recall,f1,accuracy,flag_rate,ablation,seed,year,threshold
53162,0.12627440653098077,0.531718773345888,0.13812085084183612,0.04191389843020172,0.13245226945244956,0.8763593028452257,0.2301238044945139,0.2595651028930439,0.8354839923253452,fund_xs_only,46,2023,0.47328867182085743
46812,0.11779031017687773,0.5428025625577328,0.12572052151029325,0.060182010328727054,0.12630908395974008,0.8989844033369605,0.22149735248776783,0.25563957959497563,0.8383534136546185,fund_xs_only,46,2024,0.47328867182085743
51187,0.14722488131752204,0.5262062132614216,0.1605670841964536,-0.035202727980356854,0.013574660633484163,0.0007961783439490446,0.0015041363750313362,0.8443745482251352,0.008635004981733644,macro_only,42,2022,0.5247073614079019
53162,0.12627440653098077,0.5420928900532181,0.13744148019839927,-0.016785337951499356,0.11382571492907002,0.15060330701623714,0.1296569413273485,0.7446860539483089,0.16707422595086716,macro_only,42,2023,0.5247073614079019
46812,0.11779031017687773,0.5526880357534038,0.1264238907679051,0.04914518740152198,0.13461188874750046,0.5371780921291258,0.215277273057635,0.5387080235836965,0.47005041442365203,macro_only,42,2024,0.5247073614079019
51187,0.14722488131752204,0.5216605524975387,0.14354525089747255,-0.04965178011579124,0.08671679197994987,0.045912951167728235,0.06003817456186014,0.7883446968956962,0.07794947935999375,macro_only,43,2022,0.5673152830289758
53162,0.12627440653098077,0.5639167037939898,0.15524649880966085,0.022959780071822814,0.1401922450309547,0.2563682407269477,0.18126283637895624,0.707554268086227,0.2309168202851661,macro_only,43,2023,0.5673152830289758
46812,0.11779031017687773,0.5372552646139485,0.12586302177013248,0.008828762538289606,0.12117307494072777,0.42636924192963366,0.18871407930646975,0.5681876441937964,0.41446637614286935,macro_only,43,2024,0.5673152830289758
51187,0.14722488131752204,0.5217805571415932,0.17220890807947264,0.043365700770459904,0.1957547169811321,0.12115180467091295,0.149672131147541,0.7973313536640163,0.09111688514661925,macro_only,44,2022,0.4940578604621632
53162,0.12627440653098077,0.5168796604604265,0.13005829847304146,-0.01133826700808816,0.11659513590844063,0.12140622672426635,0.11895205429467999,0.7729016967006508,0.13148489522591325,macro_only,44,2023,0.4940578604621632
46812,0.11779031017687773,0.534852468218778,0.1288452707979601,0.05103425224498262,0.14258754455860767,0.36996735582154516,0.20584228848191313,0.6637400666495771,0.3056267623686234,macro_only,44,2024,0.4940578604621632
51187,0.14722488131752204,0.6041672807344065,0.2273202751436158,0.0,0.0,0.0,0.0,0.852775118682478,0.0,macro_only,45,2022,0.5707654466597133
53162,0.12627440653098077,0.5007605220318926,0.11617864523317259,-0.04783302597594975,0.03159340659340659,0.006852375986891107,0.011262088382911005,0.8480681689928896,0.027387983898273204,macro_only,45,2023,0.5707654466597133
46812,0.11779031017687773,0.5267599032891556,0.11982457282136125,-0.01811033935764841,0.09476661951909476,0.048603554588320635,0.06425317669623591,0.8332478851576519,0.06041186020678459,macro_only,45,2024,0.5707654466597133
51187,0.14722488131752204,0.5645831852882891,0.18214499258809083,0.0,0.0,0.0,0.0,0.852775118682478,0.0,macro_only,46,2022,0.5894728642841646
53162,0.12627440653098077,0.5304720531131859,0.13356409375970277,0.008938826452294579,0.13694684472374968,0.07790853567704455,0.09931636916065324,0.8215642752341898,0.07183702644746247,macro_only,46,2023,0.5894728642841646
46812,0.11779031017687773,0.5518547520869441,0.12367381036622453,0.0203004008498436,0.12764324097983112,0.33170112441059124,0.18434712493070604,0.6542553191489362,0.3060967273348714,macro_only,46,2024,0.5894728642841646
