strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,avg_turnover,exposure,exclude_pct,rebalance_days,period
I_seed43,-0.0856861928215229,-0.08601245149255032,0.23549333517414472,-0.26455229473262043,-0.41283299101312293,-0.21892279321310387,-0.39288943024230494,251,50,0.19834903422054725,0.9203187250996016,20.0,20,2022
I_seed44,-0.09058473782378251,-0.0909287051135943,0.2323485857871884,-0.29441057417515953,-0.45593995595462417,-0.2204185187377811,-0.4125275209827846,251,50,0.1719580580765683,0.9203187250996016,20.0,20,2022
I_seed45,-0.10186671893106536,-0.10225106920655591,0.2362869741248927,-0.3386748752901578,-0.5291334615594077,-0.23004893167828513,-0.44447530558216297,251,50,0.20026437205582884,0.9203187250996016,20.0,20,2022
I_seed46,-0.09837497254793692,-0.09874688460331038,0.23273260417336394,-0.3306379415781938,-0.5078991917809447,-0.22393304852893114,-0.44096610684310283,251,50,0.16944587943231879,0.9203187250996016,20.0,20,2022
I+II_seed42,-0.0897217637459593,-0.09006261895767642,0.2354993197607638,-0.2833445521809347,-0.44029717427186443,-0.21846389108035932,-0.4122540274838736,251,50,0.18565369241948085,0.9203187250996016,20.0,20,2022
I+II_seed43,-0.0887433749665466,-0.08908069793229623,0.23465356497544754,-0.2805998662979754,-0.4364717219356093,-0.21643915660789123,-0.4115738544189485,251,50,0.17851827636431472,0.9203187250996016,20.0,20,2022
I+II_seed44,-0.09155029625639088,-0.0918977416850395,0.23427013990875883,-0.29463399779097393,-0.4558103765593502,-0.22295121752167832,-0.41218766466751394,251,50,0.175250091480477,0.9203187250996016,20.0,20,2022
I+II_seed45,-0.08899175033670381,-0.08932997040214619,0.2354846034227278,-0.27994285108747174,-0.43300382175362245,-0.22079824929441746,-0.4045773491755886,251,50,0.17797501115376937,0.9203187250996016,20.0,20,2022
I+II_seed46,-0.09307440483747764,-0.09342733206454445,0.23670632062062155,-0.2963193280499504,-0.4588185520748411,-0.22067935766532307,-0.42336235274997525,251,50,0.1879570232546308,0.9203187250996016,20.0,20,2022
I+II+IV_seed42,-0.06340274200328366,-0.06364712807871997,0.23456290333037255,-0.16347693528247403,-0.25622934307392503,-0.19973687377907295,-0.3186548726557093,251,50,0.18406186689313386,0.9203187250996016,20.0,20,2022
I+II+IV_seed43,-0.08091619898380797,-0.08122511290894063,0.23976258905610434,-0.23383411633427287,-0.3709884488940928,-0.21146992290378772,-0.38409770899616563,251,50,0.19591145456241352,0.9203187250996016,20.0,20,2022
I+II+IV_seed44,-0.08905219599244507,-0.08939063433881111,0.23884192318608036,-0.2729698233896611,-0.4275658787774492,-0.21804981205370869,-0.4099551084079493,251,50,0.19118095996122922,0.9203187250996016,20.0,20,2022
I+II+IV_seed45,-0.07627624694698876,-0.07656819400400905,0.23518387689854375,-0.2215037299812246,-0.34922116300751277,-0.2106507620556581,-0.36348405890778696,251,50,0.1784012107057923,0.9203187250996016,20.0,20,2022
I+II+IV_seed46,-0.07150111743152698,-0.07177550601356741,0.23002385358984628,-0.20915368851134022,-0.3257493468027982,-0.21172451418331795,-0.33900423052297973,251,50,0.17608556017360744,0.9203187250996016,20.0,20,2022
naive_vol,-0.1552832143525804,-0.15585094869471972,0.22315220287346368,-0.6478654645626151,-1.0758401076404311,-0.2281940278672453,-0.6829755806991932,251,50,0.12789290862449568,1.0,20.0,20,2022
oracle,0.06876740230946776,0.0690506249712124,0.23986512575502555,0.39772542003835676,0.6800727805229931,-0.1500189848302043,0.4602792443194162,251,50,0.17898730040019847,1.0,20.0,20,2022
