date,permno,ticker,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference
2021-02-08,29938,BF,70.19,1.0,0.013428,0.013428,70.19,70.19,0.013427663875252627,0.013427663875252627,False,0.0
2021-02-09,29938,BF,70.84,1.0,0.00926,0.00926,70.84,70.84,0.009260578429975963,0.009260578429975963,False,0.0
2021-02-10,29938,BF,71.03,1.0,0.002682,0.002682,71.03,71.03,0.0026821005081874016,0.0026821005081874016,False,0.0
2021-02-11,29938,BF,70.84,1.0,-0.002675,-0.002675,70.84,70.84,-0.0026749260875685854,-0.0026749260875685854,False,0.0
2021-02-12,29938,BF,71.09,1.0,0.003529,0.003529,71.09,71.09,0.0035290796160361015,0.0035290796160361015,False,0.0
2021-02-16,29938,BF,70.73,1.0,-0.005064,-0.005064,70.73,70.73,-0.005064003376002213,-0.005064003376002213,False,0.0
2021-02-17,29938,BF,70.42,1.0,-0.004383,-0.004383,70.42,70.42,-0.0043828644139686235,-0.0043828644139686235,False,0.0
2021-02-18,29938,BF,71.67,1.0,0.017751,0.017751,71.67,71.67,0.01775063902300489,0.01775063902300489,False,0.0
2021-02-19,29938,BF,70.34,1.0,-0.018557,-0.018557,70.34,70.34,-0.018557276405748557,-0.018557276405748557,False,0.0
2021-02-22,29938,BF,69.41,1.0,-0.013221,-0.013221,69.41,69.41,-0.01322149559283492,-0.01322149559283492,False,0.0
2021-02-23,29938,BF,69.56,1.0,0.002161,0.002161,69.56,69.56,0.0021610718916582616,0.0021610718916582616,False,0.0
2021-02-24,29938,BF,69.53,1.0,-0.000431,-0.000431,69.53,69.53,-0.00043128234617595407,-0.00043128234617595407,False,0.0
2021-02-25,29938,BF,68.43,1.0,-0.015821,-0.015821,68.43,68.43,-0.01582050913274835,-0.01582050913274835,False,0.0
2021-02-26,29938,BF,66.59,1.0,-0.026889,-0.026889,66.59,66.59,-0.02688879146573142,-0.02688879146573142,False,0.0
2021-03-01,29938,BF,68.02,1.0,0.021475,0.021475,68.02,68.02,0.021474695900285168,0.021474695900285168,False,0.0
2021-03-02,29938,BF,67.54,1.0,-0.007057,-0.007057,67.54,67.54,-0.007056748015289438,-0.007056748015289438,False,0.0
2021-03-03,29938,BF,65.6,1.0,-0.028724,-0.028724,65.6,65.6,-0.02872371927746542,-0.02872371927746542,False,0.0
2021-03-04,29938,BF,64.39,1.0,-0.018445,-0.018445,64.39,64.39,-0.01844512195121939,-0.01844512195121939,False,0.0
2021-03-05,29938,BF,66.1,1.0,0.029345,0.026557,66.1,66.1,0.02655691877620736,0.02655691877620736,False,0.0
2021-03-08,29938,BF,65.39,1.0,-0.010741,-0.010741,65.39,65.39,-0.010741301059001396,-0.010741301059001396,False,0.0
2021-03-09,29938,BF,65.57,1.0,0.002753,0.002753,65.57,65.57,0.0027527144823367156,0.0027527144823367156,False,0.0
2021-03-10,29938,BF,66.79,1.0,0.018606,0.018606,66.79,66.79,0.01860606984901647,0.01860606984901647,False,0.0
2021-03-11,29938,BF,66.42,1.0,-0.00554,-0.00554,66.42,66.42,-0.005539751459799458,-0.005539751459799458,False,0.0
2021-03-12,29938,BF,66.44,1.0,0.000301,0.000301,66.44,66.44,0.0003011141222521996,0.0003011141222521996,False,0.0
2021-03-15,29938,BF,67.17,1.0,0.010987,0.010987,67.17,67.17,0.010987357013847232,0.010987357013847232,False,0.0
2021-03-16,29938,BF,67.29,1.0,0.001787,0.001787,67.29,67.29,0.001786511835641047,0.001786511835641047,False,0.0
2021-03-17,29938,BF,66.59,1.0,-0.010403,-0.010403,66.59,66.59,-0.010402734433051064,-0.010402734433051064,False,0.0
2021-03-18,29938,BF,65.59,1.0,-0.015017,-0.015017,65.59,65.59,-0.015017269860339355,-0.015017269860339355,False,0.0
2021-03-19,29938,BF,64.18,1.0,-0.021497,-0.021497,64.18,64.18,-0.0214971794480866,-0.0214971794480866,False,0.0
2021-03-22,29938,BF,64.93,1.0,0.011686,0.011686,64.93,64.93,0.011685883452789092,0.011685883452789092,False,0.0
2021-03-23,29938,BF,65.51,1.0,0.008933,0.008933,65.51,65.51,0.00893269675034647,0.00893269675034647,False,0.0
2021-03-24,29938,BF,64.86,1.0,-0.009922,-0.009922,64.86,64.86,-0.009922149290184756,-0.009922149290184756,False,0.0
2021-03-25,29938,BF,64.17,1.0,-0.010638,-0.010638,64.17,64.17,-0.010638297872340385,-0.010638297872340385,False,0.0
2021-03-26,29938,BF,64.11,1.0,-0.000935,-0.000935,64.11,64.11,-0.0009350163627863672,-0.0009350163627863672,False,0.0
2021-03-29,29938,BF,64.91,1.0,0.012479,0.012479,64.91,64.91,0.01247855248791141,0.01247855248791141,False,0.0
2021-03-30,29938,BF,65.01,1.0,0.001541,0.001541,65.01,65.01,0.0015405946695425943,0.0015405946695425943,False,0.0
2021-03-31,29938,BF,63.67,1.0,-0.020612,-0.020612,63.67,63.67,-0.020612213505614596,-0.020612213505614596,False,0.0
2021-04-01,29938,BF,64.64,1.0,0.015235,0.015235,64.64,64.64,0.015234804460499518,0.015234804460499518,False,0.0
2021-04-05,29938,BF,65.82,1.0,0.018255,0.018255,65.82,65.82,0.018254950495049327,0.018254950495049327,False,0.0
2021-04-06,29938,BF,66.78,1.0,0.014585,0.014585,66.78,66.78,0.014585232452142272,0.014585232452142272,False,0.0
2021-04-07,29938,BF,65.42,1.0,-0.020365,-0.020365,65.42,65.42,-0.020365378855944916,-0.020365378855944916,False,0.0
