date,close,ticker,permno,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference,_merge
2022-11-30,84.99,TECH,75694,84.99,1.0,0.039411,0.039411,84.99,84.99,-0.7401473770095889,0.03941049196164448,True,-0.7795578689712334,both
2012-10-11,24.09,THC,52337,24.09,1.0,0.008794,0.008794,24.09,24.09,3.035175879396985,0.008793969849246297,True,3.026381909547739,both
2017-10-10,5.305,TNDM,14325,5.305,1.0,-0.087076,-0.087076,5.305,5.305,8.129237652727586,-0.08707623472724135,True,8.216313887454827,both
2010-03-05,28.17,TR,14816,28.17,1.468533,0.031741,0.028904,28.17,19.18240856691678,-0.0010638297872339608,0.028904262121421498,True,-0.02996809190865546,both
2011-03-04,27.72,TR,14816,27.72,1.425761,-0.007914,-0.010686,27.72,19.44224873593821,-0.03950103950103956,-0.010686629835982342,True,-0.028814409665057217,both
2012-03-02,22.4,TR,14816,22.4,1.384234,-0.006778,-0.01021,22.4,16.182235084530504,-0.03903903903903905,-0.010210224094581721,True,-0.028828814944457326,both
2013-03-01,27.56,TR,14816,27.56,1.343916,0.013775,0.010926,27.56,20.507234083082572,-0.01851851851851849,0.010926305689520133,True,-0.029444824208038622,both
2014-02-28,29.1,TR,14816,29.1,1.304773,0.009167,0.006481,29.1,22.30273005342692,-0.022834116856950915,0.0064807173432268605,True,-0.029314834200177775,both
2015-03-06,31.45,TR,14816,31.45,1.26677,-0.02306,-0.025466,31.45,24.82692201425673,-0.053850782190132396,-0.02546638034573423,True,-0.028384401844398166,both
2016-03-04,33.45,TR,14816,33.45,1.229874,0.015985,0.013338,33.45,27.197908078388522,-0.016176470588235237,0.013338059307653749,True,-0.029514529895888986,both
2017-03-03,38.05,TR,14816,38.05,1.194052,-0.009294,-0.011564,38.05,31.86628388043402,-0.04035308953341743,-0.011563328596093103,True,-0.028789760937324327,both
2018-03-05,32.15,TR,14816,32.15,1.159274,-0.019069,-0.021728,32.15,27.732874195401607,-0.050221565731166984,-0.021728392946302022,True,-0.028493172784864962,both
2019-03-04,36.45,TR,14816,36.45,1.125509,0.014654,0.012227,36.45,32.38534742947413,-0.017255324885413925,0.012226779615966299,True,-0.029482104501380224,both
2021-03-04,32.11,TR,14816,32.11,1.092727,0.016967,0.014207,32.11,29.38519868182995,-0.015332720024532343,0.014207469585640897,True,-0.02954018961017324,both
2022-03-04,34.57,TR,14816,34.57,1.0609,0.004986,0.002452,34.57,32.58554057875389,-0.02674549549549554,0.00245213963963975,True,-0.02919763513513529,both
2023-03-03,42.68,TR,14816,42.68,1.03,0.007788,0.005729,42.68,41.43689320388349,-0.023564401738732532,0.005728666209105171,True,-0.029293067947837703,both
2024-03-05,31.73,TR,14816,31.73,1.0,-0.015859,-0.018562,31.73,31.73,-0.04714714714714707,-0.018561561561561524,True,-0.02858558558558555,both
2014-06-18,43.88,UFS,91854,43.88,1.0,0.009548,0.009548,43.88,43.88,-0.49522604394340275,0.009547912113194501,True,-0.5047739560565973,both
2014-09-08,36.33,UGI,17929,36.33,1.0,0.01179,0.01179,36.33,36.33,-0.32547344968436687,0.011789825473449644,True,-0.3372632751578165,both
2010-09-14,19.06,VGR,75233,19.06,2.383966,-0.018134,-0.037374,19.06,7.995080466751623,-0.08321308321308318,-0.03737385274286387,True,-0.045839230470219317,both
2011-09-16,17.55,VGR,75233,17.55,2.270443,-0.013751,-0.034704,17.55,7.729769036262967,-0.08067050811943421,-0.034703689350252365,True,-0.04596681876918185,both
2012-09-19,16.5,VGR,75233,16.5,2.162327,0.002545,-0.020079,16.5,7.630668256928763,-0.06674208144796379,-0.020079336579970963,True,-0.04666274486799282,both
2013-09-12,16.01,VGR,75233,16.01,2.059359,0.016568,-0.007058,16.01,7.7742637393480205,-0.054341405788540964,-0.007058453117945285,True,-0.04728295267059568,both
2014-09-11,22.4,VGR,75233,22.4,1.961294,0.003356,-0.013423,22.4,11.421031217145414,-0.06040268456375841,-0.01342267507091599,True,-0.04698000949284242,both
2015-09-14,22.53,VGR,75233,22.53,1.8679,0.004028,-0.012667,22.53,12.061673537127257,-0.05968280467445741,-0.012667448316925345,True,-0.04701535635753207,both
2016-09-19,21.68,VGR,75233,21.68,1.778952,0.008007,-0.009399,21.68,12.18695051918208,-0.056570931244560474,-0.009399265675360868,True,-0.047171665569199606,both
2017-09-19,20.47,VGR,75233,20.47,1.69424,-0.005293,-0.023467,20.47,12.082113514023987,-0.06996819627442086,-0.023466606088141773,True,-0.046501590186279085,both
2018-09-17,14.62,VGR,75233,14.62,1.613562,-0.005619,-0.030871,14.62,9.060699247999148,-0.0770202020202021,-0.030871269322596206,True,-0.04614893269760589,both
2019-09-16,12.15,VGR,75233,12.15,1.536726,-0.031825,-0.061258,12.15,7.906419231535095,-0.10596026490066224,-0.06125845268033625,True,-0.04470181222032599,both
2021-12-30,11.3,VGR,75233,11.3,1.0,0.011946,0.011946,11.3,11.3,-0.3414918414918414,0.011946608391608438,True,-0.35343844988344986,both
2023-03-22,21.03,VIA,14830,21.03,1.0,-0.20791,-0.20791,21.03,21.03,2.9604519774011306,-0.20790960451977392,True,3.1683615819209043,both
2010-11-15,25.98,WCN,86097,25.98,1.0,-0.007639,-0.007639,25.98,25.98,-0.3384262796027502,-0.0076394194041253805,True,-0.3307868601986248,both
2017-06-19,65.71,WCN,92949,65.71,1.0,-0.016023,-0.016023,65.71,65.71,-0.3440151742038535,-0.016022761305780286,True,-0.32799241289807324,both
2015-04-27,10.61,WIN,91391,10.61,0.2,-0.063062,-0.071478,10.61,53.05,0.35504469987228604,-0.07147594508301414,True,0.4265206449553002,both
2018-05-29,6.59,WIN,91391,6.59,1.0,0.071545,0.071545,6.59,6.59,4.357723577235772,0.07154471544715446,True,4.286178861788618,both
2011-02-23,63.51,WLL,89901,63.51,0.003373,0.025099,0.025099,63.51,18828.9356655796,-0.48745056896134287,0.024946905530904617,True,-0.5123974744922475,both
2017-11-09,27.9,WLL,89901,27.9,0.01349,0.055219,0.055219,27.9,2068.19866567828,3.2208774583963686,0.055375809278795485,True,3.165501649117573,both
