table_schema,table_name,column_name,data_type
comp_na_daily_all,namesm,cik,character varying
comp_na_daily_all,namesq,cik,character varying
comp_na_daily_all,secd,cik,character varying
comp_na_daily_all,secm,cik,character varying
comp_na_daily_all_old,chars,cik,character varying
comp_na_daily_all_old,company,cik,character varying
comp_na_daily_all_old,funda,cik,character varying
comp_na_daily_all_old,fundq,cik,character varying
comp_na_daily_all_old,names,cik,character varying
comp_na_daily_all_old,names_aco_indsta,cik,character varying
comp_na_daily_all_old,names_aco_indstq,cik,character varying
comp_na_daily_all_old,names_aco_pnfnda,cik,character varying
comp_na_daily_all_old,names_aco_pnfndq,cik,character varying
comp_na_daily_all_old,names_adsprate,cik,character varying
comp_na_daily_all_old,names_seg,cik,character varying
comp_na_daily_all_old,namesd,cik,character varying
comp_na_daily_all_old,namesm,cik,character varying
comp_na_daily_all_old,namesq,cik,character varying
comp_na_daily_all_old,secd,cik,character varying
comp_na_daily_all_old,secm,cik,character varying
comp_na_daily_current_old,chars,cik,character varying
comp_na_daily_current_old,company,cik,character varying
comp_na_daily_current_old,funda,cik,character varying
comp_na_daily_current_old,fundq,cik,character varying
comp_na_daily_current_old,names,cik,character varying
comp_na_daily_current_old,names_aco_indsta,cik,character varying
comp_na_daily_current_old,names_aco_indstq,cik,character varying
comp_na_daily_current_old,names_aco_pnfnda,cik,character varying
comp_na_daily_current_old,names_aco_pnfndq,cik,character varying
comp_na_daily_current_old,names_adsprate,cik,character varying
comp_na_daily_current_old,names_seg,cik,character varying
comp_na_daily_current_old,namesd,cik,character varying
comp_na_daily_current_old,namesm,cik,character varying
comp_na_daily_current_old,namesq,cik,character varying
comp_na_daily_current_old,secd,cik,character varying
comp_na_daily_current_old,secm,cik,character varying
comp_ratings,eident_names,cik,character varying
comp_ratings,erating_names,cik,character varying
comp_ratings,imrating_names,cik,character varying
comp_ratings,irating_names,cik,character varying
comp_ratings,qvars,cik,character varying
comp_segments_hist_daily,names_seg,cik,character varying
comp_segments_hist_daily_old,names_seg,cik,character varying
comp_snapshot,chars,cik,character varying
comp_snapshot,cscompany,cik,character varying
comp_snapshot,wrds_cs_names,cik,character varying
comp_snapshot_old,chars,cik,character varying
comp_snapshot_old,cscompany,cik,character varying
comp_snapshot_old,wrds_cs_names,cik,character varying
compsamp,company,cik,character varying
compsamp,funda,cik,character varying
compsamp,fundq,cik,character varying
compsamp,names,cik,character varying
compsamp,namesq,cik,character varying
compsamp,secd,cik,character varying
compsamp,secm,cik,character varying
compsamp_all,company,cik,character varying
compsamp_all,funda,cik,character varying
compsamp_all,fundq,cik,character varying
compsamp_all,names,cik,character varying
compsamp_all,namesq,cik,character varying
compsamp_all,secd,cik,character varying
compsamp_all,secm,cik,character varying
compsamp_snapshot,chars,cik,character varying
compsamp_snapshot,wrds_cs_names,cik,character varying
compseg,names_seg,cik,character varying
compsnap,chars,cik,character varying
compsnap,cscompany,cik,character varying
compsnap,wrds_cs_names,cik,character varying
contrib,arc,cik,double precision
contrib,arc,nciks,double precision
contrib,as_firm_risks,cik,character varying
contrib,blocksv,blockholder_cik,double precision
contrib,blocksv,company_cik,double precision
contrib,cik_types,cik,character varying
contrib,cik_types,name,character varying
contrib,cik_types,type2,character varying
contrib,cik_types,type4,character varying
contrib_general,arc,cik,double precision
contrib_general,arc,nciks,double precision
contrib_general,as_firm_risks,cik,character varying
contrib_general,blocksv,blockholder_cik,double precision
contrib_general,blocksv,company_cik,double precision
contrib_general,cik_types,cik,character varying
contrib_general,cik_types,name,character varying
contrib_general,cik_types,type2,character varying
contrib_general,cik_types,type4,character varying
contrib_general_old,arc,cik,double precision
contrib_general_old,arc,nciks,double precision
contrib_general_old,as_firm_risks,cik,character varying
contrib_general_old,blocksv,blockholder_cik,double precision
contrib_general_old,blocksv,company_cik,double precision
crsp,ccm_lookup,cik,character varying
crsp,ccm_qvards,cik,character varying
crsp,comphead,cik,character varying
crsp,comphist,hcik,character varying
crsp,crsp_cik_map,crsp_fundno,double precision
crsp,crsp_cik_map,comp_cik,double precision
crsp,crsp_cik_map,series_cik,character varying
crsp,crsp_cik_map,contract_cik,character varying
crsp_a_ccm,ccm_lookup,cik,character varying
crsp_a_ccm,ccm_qvards,cik,character varying
crsp_a_ccm,comphead,cik,character varying
crsp_a_ccm,comphist,hcik,character varying
crsp_a_ccm_old,ccm_lookup,cik,character varying
crsp_a_ccm_old,ccm_qvards,cik,character varying
crsp_a_ccm_old,comphead,cik,character varying
crsp_a_ccm_old,comphist,hcik,character varying
crsp_m_ccm,ccm_lookup,cik,character varying
crsp_m_ccm,ccm_qvards,cik,character varying
crsp_m_ccm,comphead,cik,character varying
crsp_m_ccm,comphist,hcik,character varying
crsp_m_ccm_old,ccm_lookup,cik,character varying
crsp_m_ccm_old,ccm_qvards,cik,character varying
crsp_m_ccm_old,comphead,cik,character varying
crsp_m_ccm_old,comphist,hcik,character varying
crsp_q_ccm,ccm_lookup,cik,character varying
crsp_q_ccm,ccm_qvards,cik,character varying
crsp_q_ccm,comphead,cik,character varying
crsp_q_ccm,comphist,hcik,character varying
crsp_q_ccm_old,ccm_lookup,cik,character varying
crsp_q_ccm_old,ccm_qvards,cik,character varying
crsp_q_ccm_old,comphead,cik,character varying
crsp_q_ccm_old,comphist,hcik,character varying
crsp_q_mutualfunds,crsp_cik_map,crsp_fundno,double precision
crsp_q_mutualfunds,crsp_cik_map,comp_cik,double precision
crsp_q_mutualfunds,crsp_cik_map,series_cik,character varying
crsp_q_mutualfunds,crsp_cik_map,contract_cik,character varying
crsp_q_mutualfunds_old,crsp_cik_map,crsp_fundno,double precision
crsp_q_mutualfunds_old,crsp_cik_map,comp_cik,double precision
crsp_q_mutualfunds_old,crsp_cik_map,series_cik,character varying
crsp_q_mutualfunds_old,crsp_cik_map,contract_cik,character varying
crspm,ccm_lookup,cik,character varying
crspm,ccm_qvards,cik,character varying
crspm,comphead,cik,character varying
crspm,comphist,hcik,character varying
crspq,ccm_lookup,cik,character varying
crspq,ccm_qvards,cik,character varying
crspq,comphead,cik,character varying
crspq,comphist,hcik,character varying
crspsamp,ccm_qvards,cik,character varying
crspsamp,ccmnames_trial,cik,character varying
crspsamp,comphead,cik,character varying
crspsamp_all,ccm_qvards,cik,character varying
crspsamp_all,ccmnames_trial,cik,character varying
crspsamp_all,comphead,cik,character varying
fjc_linking_old,wrds_civil_link,plt_cik,character varying
fjc_linking_old,wrds_civil_link,def_cik,character varying
fjc_linking_old,wrds_criminal_link,cik,character varying
form_metadata,boardex_trial_jr_wrds_company_profile_variables,CIKCode,character varying
form_metadata,bvd_bvdbankf_bvdbankf_branches_headquarters_extra1_bankinformat,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_companions_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_directors_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_financials_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_ish_guo_duo_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_overview_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_regulators_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_shareholders_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_annual_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_current_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_indexes_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_info_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_monthly_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_places_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_stock_weekly_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_bvdbankf_subsidiaries_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_trial_bvdbankf_financials_extra1_bankinformation,CIK,character varying
